areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,newVirusTestsByPublishDate
K02000001,United Kingdom,overview,18/05/2021,4450392,128237,36985505,732012
K02000001,United Kingdom,overview,17/05/2021,4452756,128231,36811405,967126
K02000001,United Kingdom,overview,16/05/2021,4450777,128223,36704672,1086443
K02000001,United Kingdom,overview,15/05/2021,4448851,128215,36573354,460202
K02000001,United Kingdom,overview,14/05/2021,4446824,128207,36336023,674608
K02000001,United Kingdom,overview,13/05/2021,4444631,128201,36115955,982881
K02000001,United Kingdom,overview,12/05/2021,4441975,128194,35906671,1184941
K02000001,United Kingdom,overview,11/05/2021,4439691,128183,35722461,711104
K02000001,United Kingdom,overview,10/05/2021,4437217,128168,35587348,955467
K02000001,United Kingdom,overview,09/05/2021,4434860,128158,35472295,1322338
K02000001,United Kingdom,overview,08/05/2021,4433090,128149,35371669,490546
K02000001,United Kingdom,overview,07/05/2021,4431043,128140,35202642,708935
K02000001,United Kingdom,overview,06/05/2021,4428553,128128,35069641,1067566
K02000001,United Kingdom,overview,05/05/2021,4425940,128117,34934171,1214689
K02000001,United Kingdom,overview,04/05/2021,4423796,128104,34795074,860368
K02000001,United Kingdom,overview,03/05/2021,4421850,128094,34667904,1069724
K02000001,United Kingdom,overview,02/05/2021,4420201,128084,34595304,832918
K02000001,United Kingdom,overview,01/05/2021,4418530,128070,34505380,485640
K02000001,United Kingdom,overview,30/04/2021,4416623,128061,34362205,667686
K02000001,United Kingdom,overview,29/04/2021,4414242,128049,34216616,1072576
K02000001,United Kingdom,overview,28/04/2021,4411797,128033,34094048,1360719
K02000001,United Kingdom,overview,27/04/2021,4409631,128017,33959908,730262
K02000001,United Kingdom,overview,26/04/2021,4406946,128001,33843580,1034181
K02000001,United Kingdom,overview,25/04/2021,4404882,127987,33752885,1477709
K02000001,United Kingdom,overview,24/04/2021,4403170,127972,33673190,502663
K02000001,United Kingdom,overview,23/04/2021,4401109,127964,33524423,722997
K02000001,United Kingdom,overview,22/04/2021,4398431,127941,33388637,1111876
K02000001,United Kingdom,overview,21/04/2021,4395703,127924,33257651,1371393
K02000001,United Kingdom,overview,20/04/2021,4393307,127900,33139742,730210
K02000001,United Kingdom,overview,19/04/2021,4390783,127881,33032120,1041368
K02000001,United Kingdom,overview,18/04/2021,4387820,127863,32932448,1673788
K02000001,United Kingdom,overview,17/04/2021,4385938,127845,32849223,492826
K02000001,United Kingdom,overview,16/04/2021,4383732,127820,32709778,681887
K02000001,United Kingdom,overview,15/04/2021,4380976,127802,32574221,988311
K02000001,United Kingdom,overview,14/04/2021,4378305,127780,32444439,1162840
K02000001,United Kingdom,overview,13/04/2021,4375814,127763,32326604,679109
K02000001,United Kingdom,overview,12/04/2021,4373343,127742,32250481,874399
K02000001,United Kingdom,overview,11/04/2021,4369775,127713,32190576,1218037
K02000001,United Kingdom,overview,10/04/2021,4368045,127689,32121353,482153
K02000001,United Kingdom,overview,09/04/2021,4365461,127664,32010244,676307
K02000001,United Kingdom,overview,08/04/2021,4370321,127638,31903366,931579
K02000001,United Kingdom,overview,07/04/2021,4367291,127602,31807124,1034088
K02000001,United Kingdom,overview,06/04/2021,4364529,127574,31707594,631846
K02000001,United Kingdom,overview,05/04/2021,4362150,127546,31622367,741323
K02000001,United Kingdom,overview,04/04/2021,4359388,127528,31581623,813693
